NAME                                STATUS   AGE
cert-manager                        Active   8m45s
default                             Active   28m
flux-system                         Active   10m
gke-managed-cim                     Active   28m
gke-managed-networking-dra-driver   Active   27m
gke-managed-system                  Active   28m
gke-managed-volumepopulator         Active   28m
gmp-public                          Active   27m
gmp-system                          Active   27m
ingress-nginx                       Active   9m37s
kube-node-lease                     Active   28m
kube-public                         Active   28m
kube-system                         Active   28m
splunk-dev                          Active   4m5s
