Title: kubectl logs -n kong kong-controller-cd7757cdb-277gc
Timestamp: 2026-06-18T16:40:37

Command:
kubectl logs -n kong kong-controller-cd7757cdb-277gc --tail=200

Exit code: 0

Output:
2026-06-18T23:30:22Z	info	Found configuration option for gated feature	{"v": 0, "feature": "GatewayAlpha", "enabled": false}
2026-06-18T23:30:22Z	info	Found configuration option for gated feature	{"v": 0, "feature": "FillIDs", "enabled": true}
2026-06-18T23:30:22Z	info	Found configuration option for gated feature	{"v": 0, "feature": "RewriteURIs", "enabled": false}
2026-06-18T23:30:22Z	info	Found configuration option for gated feature	{"v": 0, "feature": "KongServiceFacade", "enabled": false}
2026-06-18T23:30:22Z	info	Found configuration option for gated feature	{"v": 0, "feature": "SanitizeKonnectConfigDumps", "enabled": true}
2026-06-18T23:30:22Z	info	Found configuration option for gated feature	{"v": 0, "feature": "FallbackConfiguration", "enabled": false}
2026-06-18T23:30:22Z	info	Found configuration option for gated feature	{"v": 0, "feature": "KongCustomEntity", "enabled": true}
2026-06-18T23:30:22Z	info	Diagnostics disabled	{"v": 0}
2026-06-18T23:30:22Z	info	setup	Starting controller manager	{"v": 0, "release": "3.5.9", "repo": "https://github.com/Kong/kubernetes-ingress-controller.git", "commit": "d9246e6bbbd6c02ed24d33244365c0b1160ed182"}
2026-06-18T23:30:22Z	info	setup	The ingress class name has been set	{"v": 0, "value": "kong"}
2026-06-18T23:30:22Z	info	setup	Getting the Kubernetes client configuration	{"v": 0}
2026-06-18T23:30:22Z	info	setup	Using Kubeconfig based on fields from configuration	{"v": 0}
W0618 23:30:22.626138       1 client_config.go:667] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2026-06-18T23:30:22Z	info	setup	Getting the kong admin api client configuration	{"v": 0}
W0618 23:30:22.626360       1 client_config.go:667] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2026-06-18T23:30:22Z	error	setup.initialize-kong-clients	Failed to create kong client(s), retrying...	{"delay": 1, "error": "no endpoints for service: \"kong/kong-gateway-admin\""}
2026-06-18T23:30:26Z	info	setup	Configuring and building the controller manager	{"v": 0}
2026-06-18T23:30:26Z	info	setup	Building the manager runtime scheme and loading apis into the scheme	{"v": 0}
2026-06-18T23:30:26Z	info	setup	DB-less mode detected with service detection, enabling leader election	{"v": 0}
2026-06-18T23:30:26Z	info	setup	Initializing Dataplane Client	{"v": 0}
2026-06-18T23:30:26Z	info	setup	Emitting Kubernetes events enabled, creating an event recorder for kong-client	{"v": 0}
2026-06-18T23:30:26Z	info	setup	Setting up admission server	{"v": 0}
2026-06-18T23:30:26Z	info	controller-runtime.certwatcher	Updated current TLS certificate	{"v": 0}
2026-06-18T23:30:26Z	info	setup	Initializing Dataplane Synchronizer	{"v": 0}
2026-06-18T23:30:26Z	info	setup	Starting Status Updater	{"v": 0}
2026-06-18T23:30:26Z	info	setup	Initializing Dataplane address Discovery	{"v": 0}
2026-06-18T23:30:26Z	info	setup	Falling back to a default address finder for UDP	{"v": 0, "reason": "no publish status address or publish service were provided"}
2026-06-18T23:30:26Z	info	setup	Starting Enabled Controllers	{"v": 0}
2026-06-18T23:30:26Z	info	controllers.Dynamic/Gateway	Required CustomResourceDefinitions are not installed, setting up a watch for them in case they are installed afterward	{"v": 0}
2026-06-18T23:30:26Z	info	controllers.Dynamic/HTTPRoute	Required CustomResourceDefinitions are not installed, setting up a watch for them in case they are installed afterward	{"v": 0}
2026-06-18T23:30:26Z	info	controllers.Dynamic/ReferenceGrant	Required CustomResourceDefinitions are not installed, setting up a watch for them in case they are installed afterward	{"v": 0}
2026-06-18T23:30:26Z	info	controllers.Dynamic/GRPCRoute	Required CustomResourceDefinitions are not installed, setting up a watch for them in case they are installed afterward	{"v": 0}
2026-06-18T23:30:26Z	info	setup	Starting KongLicense controller	{"v": 0}
2026-06-18T23:30:26Z	info	setup	Inject license getter to config translator	{"v": 0, "license_getter_type": "*license.KongV1Alpha1KongLicenseReconciler"}
2026-06-18T23:30:26Z	info	setup	Finished setting up the controller manager	{"v": 0}
2026-06-18T23:30:26Z	info	Starting standalone health check server	{"v": 0}
2026-06-18T23:30:26Z	info	telemetry	starting telemetry manager	{"v": 0}
2026-06-18T23:30:26Z	info	Starting manager	{"v": 0}
2026-06-18T23:30:26Z	info	Starting AdminAPIClientsManager loop	{"v": 0}
2026-06-18T23:30:26Z	info	controller-runtime.metrics	Starting metrics server	{"v": 0}
2026-06-18T23:30:26Z	info	controller-runtime.metrics	Serving metrics server	{"v": 0, "bindAddress": ":10255", "secure": false}
2026-06-18T23:30:26Z	info	Starting admission server	{"v": 0}
2026-06-18T23:30:26Z	info	controller-runtime.certwatcher	Starting certificate poll+watcher	{"v": 0, "interval": 10}
2026-06-18T23:30:26Z	info	controllers.KongAdminAPIService	Starting EventSource	{"source": "kind source: *v1.EndpointSlice", "v": 0}
I0618 23:30:26.965996       1 leaderelection.go:257] attempting to acquire leader lease kong/kong-ingress-controller-leader-kong...
I0618 23:30:26.995103       1 leaderelection.go:271] successfully acquired lease kong/kong-ingress-controller-leader-kong
2026-06-18T23:30:26Z	info	controllers.Ingress.netv1	Starting EventSource	{"source": "channel source: 0xc0002af490", "v": 0}
2026-06-18T23:30:26Z	info	controllers.IngressClass.netv1	Starting EventSource	{"source": "kind source: *v1.IngressClass", "v": 0}
2026-06-18T23:30:26Z	info	controllers.EndpointSlice	Starting EventSource	{"source": "kind source: *v1.EndpointSlice", "v": 0}
2026-06-18T23:30:26Z	info	controllers.Ingress.netv1	Starting EventSource	{"source": "kind source: *v1.IngressClass", "v": 0}
2026-06-18T23:30:26Z	info	controllers.Ingress.netv1	Starting EventSource	{"source": "kind source: *v1.Ingress", "v": 0}
2026-06-18T23:30:26Z	info	controllers.Service	Starting EventSource	{"source": "kind source: *v1.Service", "v": 0}
2026-06-18T23:30:26Z	info	controllers.configmaps	Starting EventSource	{"source": "kind source: *v1.ConfigMap", "v": 0}
2026-06-18T23:30:27Z	info	controllers.Secrets	Starting EventSource	{"source": "kind source: *v1.Secret", "v": 0}
2026-06-18T23:30:27Z	info	controllers.TCPIngress	Starting EventSource	{"source": "channel source: 0xc0002af650", "v": 0}
2026-06-18T23:30:27Z	info	controllers.UDPIngress	Starting EventSource	{"source": "channel source: 0xc0002af570", "v": 0}
2026-06-18T23:30:27Z	info	controllers.IngressClassParameters	Starting EventSource	{"source": "kind source: *v1alpha1.IngressClassParameters", "v": 0}
